,X,State,Cell_HandheldBan,Cell_YoungAllBan,Cell_YoungAllBanAge,Cell_TextingBan,Cell_EnforcePrimary,Cell_EnforceSecond,SB_Enforce,SB_MaxFineFirstOff,SB_Primary,SB_AgeCoveredLaw,SB_SeatCoveredLaw,ChildRestraint_RF,ChildRestraint_FF,ChildRestraint_BS,ChildGenRestraint,ChildRestraint_MaxFine,LP_Age,LP_Length,LP_SupDriveTime,LP_ReqNightDrive,RL_MinAge,RL_NightRestrict,RL_NightRestrictType,RL_NightRestLength,RL_PassengerRestrict,RL_PassRestrictType,RL_PassRestLength,Definition_Older,LicenseRenewCycleGen,LicenseRenewCycleOlder,PfVisionRenewGen,PfVisionRenewOlder,MaxSL_Rural,MaxSL_Urban,MaxSL_AccessRd,MaxSL_OtherRd,Speed_MaxFine,Speed_JailAlternative,BikeHelmetLaw,BikeHelmetAge,MtrcycleHelmetLaw,MtrcycleHelmetAge,DUI_BACMax21above,DUI_BACMaxUnder21,DUI_BACLevelExtreme,DWAI_Limit,DUI_ThreeStrikeLaw,DUI_LicenseSuspFO,DUI_RestorePrivDSusp,DUI_IgnitionIL_FO,DUI_IgnitionIL_RO,DUI_Checkpoints,MarijuanaLegal,NoCameras,RL_Cameras,RL_Speed_Cameras,RL_MaxFineCamera,Speed_MaxFineCamera,Aggressive,Pop_2014,Pop_2015,Ages_Young_2015,YoungPopPercent,Ages_Mid_2015,MidPopPercent,Ages_Old_2015,OldPopPercent,PopGrowth,Median_UR_2015,VehicleMilesTrav,IncomePerCapita,AvgTemp,Snow_LowHighInd,Tot_Accident_15,Tot_Fatal_15,Tot_DUI_15,Cell_HHBFactor,Cell_EnforceAllUseAllDrivers,SB_Primary_Factor,SB_MaxFineOver50,SB_SeatLawFactor,CR_MaxFineFactor,OlderRegRenewPfVision,MotorCycAllDrivers,StrictHelmetLaws,IncomePerCapita1000,newcount,VehicleMilesTrav1000,Cell_TBFactor,Cell_AllBan,Cell_YoungAllBanAge_Factor,ChildRestraint_RF_Factor,ChildGenRestraint_Factor,DUI_IgnitionFO_Factor,MarjMedicalUse,NoTolerance,NoRest
1,Alabama (01),1,0,1,17,1,1,2,1,25,1,15,2,1,1,1,0,25,15,0.5,50,0,16,1,1,0.5,1,1,0.5,65,4,4,0,0,70,65,65,65,500,90,1,15,1,99,0.08,0.02,0.15,NA,0,90,0,1,1,1,0,0,1,1,0,0,0,4649932,4663111,593857,0.1273521,2422765,0.5195598,739580,0.1586023,0.002834235,6,68498,38965,63.2,0,783,849,215,0,0,1,0,0,0,0,1,1,38.965,18,68.498,1,0,1,1,0,1,0,0,1
2,Alaska (02),2,0,0,0,1,3,0,1,15,1,16,1,1,2,2,0,50,14,0.5,40,1,16,1,2,0.5,1,2,0.5,69,5,5,2,1,65,55,65,55,300,0,0,0,1,17,0.08,0,0.15,NA,0,90,3002,1,1,0,2,1,0,0,0,0,0,724553,732544,99806,0.1362457,385130,0.5257432,75023,0.1024143,0.011028869,6.5,5008,55940,30.3,1,60,65,24,0,1,1,0,1,0,0,0,0,55.94,9,5.008,1,0,0,1,0,1,0,1,0
3,Arizona (04),4,0,0,0,0,NA,NA,0,10,0,5,2,0,0,0,1,50,15.5,0.5,30,1,16,1,3,0.5,1,13,0.5,65,12,5,1,1,75,65,65,65,500,3,0,0,1,17,0.08,0,0.15,NA,0,90,30,1,1,1,1,0,1,1,165,165,1,7315364,7495238,973437,0.1298741,3728272,0.4974188,1181358,0.1576145,0.024588524,6.1,63805,39060,62.4,1,810,893,233,0,NA,0,0,0,0,0,0,0,39.06,12,63.805,0,0,0,0,1,1,1,1,0
4,Arkansas (05),5,2,1,18,1,14,23,1,25,1,15,2,0,0,0,2,100,14,0.5,0,0,16,1,4,2,1,12,2,65,8,8,1,1,70,65,65,65,500,180,0,0,1,20,0.08,0.02,0.15,NA,0,180,2,1,1,1,0,1,0,0,0,0,0,2950287,2968913,377002,0.1269832,1520901,0.5122754,467880,0.157593,0.006313284,5.55,35305,39107,60.1,0,472,531,122,0,0,1,0,0,1,0,0,0,39.107,18,35.305,1,0,1,0,1,1,0,0,0
5,California (06),6,1,1,18,1,13,2,1,20,1,6,1,1,0,0,3,100,15.5,0.5,50,1,16,1,5,1,1,12,2,70,5,5,2,1,70,65,70,65,250,0,1,17,1,99,0.08,0.01,0.15,NA,1,120,2,1,1,1,1,0,1,0,100,0,1,39705716,40123232,5550160,0.1383278,20972899,0.5227121,5227964,0.1302977,0.010515262,6.25,354930,52651,61.5,1,2925,3176,718,1,0,1,0,1,1,0,1,1,52.651,8,354.93,1,1,1,1,1,1,1,0,0
6,Colorado (08),8,0,1,18,1,3,0,0,71,0,0,2,1,1,2,3,81,15,1,50,1,16,1,3,1,1,14,1,66,5,5,1,1,75,65,65,65,100,0,0,0,1,17,0.08,0.02,0.17,0.05,0,270,2,1,1,1,2,0,1,1,75,40,0,5004965,5049493,666479,0.1319893,2689120,0.5325525,627408,0.1242517,0.008896766,4.2,51115,50410,47.4,1,506,546,167,0,1,0,1,0,1,0,0,0,50.41,11,51.115,1,0,1,1,1,1,0,0,0
7,Connecticut (09),9,1,1,18,1,3,0,1,15,1,7,2,1,0,0,4,60,16,0.5,40,0,16.5,1,5,1.5,1,5,1,65,6,2,0,0,65,55,65,55,200,0,1,15,1,17,0.08,0.02,0.16,NA,0,45,0,1,1,1,1,1,0,0,0,0,0,3624896,3635414,454350,0.1249789,1930082,0.5309112,577083,0.1587393,0.002901601,5.55,31249,66972,48.9,1,253,266,91,1,1,1,0,0,0,0,0,0,66.972,7,31.249,1,1,1,1,1,1,1,0,1
8,Delaware (10),10,1,1,55,1,3,0,1,25,1,16,1,0,0,0,4,25,16,0.5,50,1,16.5,1,6,0.5,1,1,0.5,65,8,8,1,1,65,55,65,55,230,30,1,17,1,18,0.08,0,0.16,NA,0,90,0,1,1,1,0,0,1,0,110,0,1,919299,927400,110137,0.1187589,491598,0.5300819,148682,0.1603213,0.008812149,4.85,9675,47662,55.2,1,122,126,36,1,1,1,0,1,0,0,0,0,47.662,14,9.675,1,1,0,0,1,1,0,1,1
9,District of Columbia (11),11,1,1,44,1,3,0,1,50,1,16,1,0,0,0,3,75,16,0.5,50,1,16.5,1,13,1.5,1,4,1.5,70,8,8,1,1,NA,55,NA,25,200,0,1,15,1,99,0.07,0,0.2,NA,0,90,1,1,1,1,0,0,1,1,150,300,0,511233,506323,78733,0.1554996,269339,0.5319509,61714,0.1218866,-0.009604231,6.9,3641,71496,54.3,1,23,23,5,1,1,1,1,1,1,0,1,1,71.496,5,3.641,1,1,0,0,1,1,0,1,0
10,Florida (12),12,0,0,0,1,0,3,1,30,1,6,2,0,0,0,2,60,15,1,50,1,16,1,7,2,0,0,0,80,8,6,2,1,70,65,70,65,1000,0,1,15,1,20,0.08,0.02,0.2,NA,0,180,1,2,1,1,0,0,1,0,158,0,1,20794144,21204132,2350965,0.110873,10934498,0.5156777,4133945,0.1949594,0.019716513,5.45,208881,44101,71.7,0,2699,2939,617,0,0,1,0,0,0,0,0,0,44.101,14,208.881,1,0,0,0,1,0,0,0,0
